Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.08 -0.01 0.55 -0.97 12.99 0.77 0.31 -0.04 735
0.08 -0.01 0.70 -1.01 14.84 1.42 0.66 -0.04 742
0.05 -0.01 0.24 -1.15 16.94 2.22 1.08 -0.02 748
0.05 -0.01 0.47 -1.02 16.05 2.50 1.64 0.02 754
0.05 -0.00 0.53 -1.31 16.31 2.53 2.13 0.07 760
0.04 -0.00 -0.04 -2.00 16.39 2.58 2.57 0.14 766
0.04 -0.00 -0.37 -2.60 16.04 2.65 2.91 0.26 773
0.03 -0.00 -1.15 -3.12 15.74 2.72 3.07 0.43 779
0.05 -0.01 -0.69 -4.16 15.81 2.76 3.20 0.62 785
0.05 -0.00 -0.72 -3.74 16.07 2.78 3.30 0.76 791
0.04 -0.00 -0.42 -3.77 16.64 2.78 3.40 0.90 797
0.04 -0.00 -0.29 -3.15 16.65 2.73 3.47 1.01 803
0.05 -0.01 -0.39 -2.66 15.61 2.67 3.49 1.07 811
0.04 -0.00 -0.95 -3.08 15.20 2.61 3.45 1.10 817
0.04 -0.00 -1.29 -2.82 13.71 2.60 3.38 1.15 823
0.05 -0.00 -2.19 -2.56 13.12 2.62 3.22 1.20 829
0.06 -0.01 -3.43 -2.44 12.21 2.59 2.91 1.25 835
0.04 -0.00 -5.63 -2.28 10.48 2.51 2.51 1.23 841
0.04 -0.00 -7.17 -1.36 9.13 2.43 1.99 1.02 847
0.04 -0.00 -10.72 1.07 10.11 2.22 1.14 0.64 854
0.05 -0.00 -18.82 4.26 13.04 1.78 0.23 -0.18 861
0.03 -0.00 -13.16 4.82 13.13 1.03 -0.97 -0.93 867
0.03 -0.00 -8.02 4.01 13.41 0.31 -1.83 -1.21 873
0.04 -0.00 -6.10 2.78 13.25 -0.14 -2.28 -1.50 879
0.03 -0.00 -5.10 1.76 11.87 -0.36 -2.34 -1.89 885
0.04 -0.00 -3.42 1.50 10.40 -0.47 -2.37 -2.27 891
0.04 -0.00 -2.26 1.62 9.45 -0.53 -2.51 -2.50 898
0.04 0.00 -1.55 2.13 9.25 -0.60 -2.65 -2.58 904
0.05 -0.00 -0.39 2.33 9.51 -0.70 -2.81 -2.55 910
0.04 -0.00 0.80 2.41 9.48 -0.80 -2.91 -2.44 916
0.04 -0.00 1.81 2.53 9.30 -0.92 -2.95 -2.30 922
0.03 -0.00 2.56 2.50 9.00 -1.00 -2.92 -2.15 928
0.04 0.01 3.09 2.42 8.74 -1.07 -2.89 -1.98 935
0.04 -0.00 3.77 2.50 8.81 -1.10 -2.83 -1.81 942
0.04 -0.00 4.47 2.58 8.72 -1.14 -2.76 -1.66 948
0.03 -0.00 5.07 2.57 8.49 -1.19 -2.72 -1.45 954
0.04 -0.00 5.47 2.45 8.21 -1.23 -2.68 -1.23 960
0.05 -0.00 5.83 2.24 8.20 -1.27 -2.64 -1.00 966
0.04 -0.00 6.52 2.10 8.72 -1.31 -2.56 -0.78 972
0.04 -0.00 7.24 1.83 9.07 -1.35 -2.42 -0.59 978
0.03 -0.00 7.78 1.43 9.29 -1.38 -2.25 -0.38 985
0.04 -0.00 8.09 0.83 9.15 -1.42 -2.03 -0.18 991
0.06 -0.01 8.41 0.36 9.27 -1.47 -1.85 -0.00 997
0.04 -0.00 8.42 -0.19 9.14 -1.49 -1.63 0.12 1003
0.04 -0.00 8.25 -0.90 8.96 -1.48 -1.42 0.26 1009
0.03 -0.00 8.03 -1.53 8.78 -1.44 -1.23 0.38 1015
0.04 0.00 7.82 -1.98 8.58 -1.36 -1.05 0.49 1022
0.04 -0.00 7.63 -2.32 8.40 -1.29 -0.86 0.57 1029
0.04 -0.00 7.46 -2.45 8.49 -1.19 -0.65 0.64 1035
0.04 -0.00 7.12 -2.53 8.50 -1.10 -0.47 0.71 1041
0.04 -0.00 6.55 -2.44 8.67 -1.02 -0.27 0.75 1047
0.03 -0.00 5.92 -2.31 8.86 -0.94 -0.10 0.78 1053
0.03 -0.00 5.32 -2.25 9.10 -0.88 0.02 0.80 1059
0.02 -0.00 4.88 -2.21 9.61 -0.84 0.09 0.82 1065
0.03 -0.00 4.78 -1.95 10.56 -0.82 0.12 0.82 1072
0.03 -0.00 4.70 -1.60 11.50 -0.86 0.15 0.84 1079
0.02 -0.00 4.52 -1.41 11.86 -0.98 0.18 0.86 1085
0.03 0.00 4.31 -1.44 11.86 -1.14 0.20 0.87 1091
0.03 -0.00 4.00 -1.69 11.56 -1.30 0.20 0.86 1097
0.03 -0.00 3.64 -1.99 10.87 -1.42 0.17 0.82 1103
0.03 -0.00 3.36 -2.48 9.97 -1.48 0.17 0.76 1110
0.04 -0.00 3.14 -2.83 9.47 -1.49 0.17 0.67 1116
0.02 -0.00 3.05 -3.11 9.21 -1.45 0.18 0.57 1123
0.02 -0.00 2.95 -3.28 9.35 -1.39 0.19 0.46 1129
0.03 -0.00 3.04 -3.35 9.59 -1.33 0.21 0.36 1135
0.03 -0.00 3.04 -3.34 9.74 -1.29 0.22 0.26 1141
0.03 -0.00 2.84 -3.47 9.64 -1.25 0.26 0.18 1147
0.02 -0.00 2.53 -3.64 9.39 -1.20 0.30 0.10 1154
0.02 -0.00 2.43 -3.76 9.32 -1.15 0.33 0.01 1160
0.03 -0.00 2.41 -3.80 9.60 -1.08 0.38 -0.09 1166
0.03 -0.00 2.61 -3.84 9.87 -1.02 0.46 -0.17 1172
0.03 -0.00 2.85 -4.04 10.05 -0.99 0.58 -0.26 1179
0.03 0.00 2.69 -4.37 9.97 -0.99 0.73 -0.35 1185
0.03 -0.00 2.32 -4.72 10.06 -1.00 0.88 -0.45 1191
0.03 -0.00 1.99 -5.10 9.95 -1.00 0.97 -0.56 1198
0.03 -0.00 1.55 -5.46 9.73 -1.00 0.97 -0.68 1204
0.03 -0.00 1.18 -5.71 9.43 -0.98 0.92 -0.78 1210
0.02 -0.00 1.01 -5.90 8.86 -0.96 0.81 -0.89 1216
0.03 -0.00 1.19 -6.17 8.54 -0.95 0.68 -0.98 1222
0.02 -0.00 1.60 -6.47 8.36 -0.92 0.57 -1.11 1228
0.03 0.00 2.05 -6.73 8.12 -0.87 0.48 -1.24 1235
0.03 -0.00 2.53 -6.85 7.83 -0.81 0.45 -1.36 1242
0.02 -0.00 3.03 -6.98 7.46 -0.76 0.46 -1.46 1248
0.03 -0.00 3.29 -7.11 6.91 -0.70 0.48 -1.53 1254
0.04 -0.00 3.40 -7.24 6.23 -0.61 0.49 -1.60 1260
0.02 -0.00 3.33 -7.40 5.48 -0.50 0.48 -1.59 1266
0.03 -0.00 2.44 -15.07 2.90 -0.32 0.40 -1.54 1272
0.03 -0.00 2.14 -12.48 35.53 2.38 -0.54 -0.93 1278
0.04 -0.00 -6.39 -14.01 -2.57 1.51 -0.67 -0.79 1286
0.04 0.02 -1.84 -32.19 13.34 2.35 -2.36 -0.61 1292
0.03 0.13 0.14 -4.83 12.02 0.05 -0.85 -0.07 1298
