Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.27 0.40 0.60 -0.84 10.06 -0.00 0.02 0.02 1215
0.25 0.38 0.59 -0.83 10.05 -0.00 0.03 0.02 1222
0.22 0.37 0.64 -0.82 10.04 0.00 0.03 0.02 1228
0.22 0.36 0.65 -0.84 10.01 0.00 0.03 0.02 1234
0.22 0.36 0.67 -0.83 9.97 0.00 0.03 0.02 1241
0.21 0.33 0.62 -0.83 10.04 0.01 0.03 0.02 1247
0.22 0.36 0.65 -0.84 10.03 0.00 0.03 0.02 1253
0.23 0.30 0.68 -0.90 10.05 0.00 0.03 0.02 1260
0.21 0.28 0.64 -0.86 10.03 0.00 0.03 0.02 1266
0.23 0.31 0.67 -0.85 10.01 0.00 0.03 0.02 1272
0.20 0.29 0.67 -0.83 10.01 0.00 0.03 0.02 1278
0.20 0.29 0.69 -0.84 10.04 -0.00 0.03 0.02 1285
0.18 0.30 0.69 -0.83 9.98 -0.00 0.03 0.02 1291
0.19 0.27 0.68 -0.84 9.98 -0.00 0.02 0.02 1298
0.20 0.22 0.73 -0.86 10.02 0.00 0.02 0.02 1304
0.20 0.24 0.68 -0.85 10.03 0.00 0.02 0.02 1310
0.20 0.25 0.73 -0.82 10.00 0.01 0.02 0.02 1316
0.20 0.20 0.68 -0.82 10.01 0.01 0.02 0.02 1323
0.20 0.18 0.69 -0.85 10.02 0.01 0.02 0.02 1329
0.21 0.20 0.74 -0.82 9.98 0.01 0.02 0.02 1336
0.20 0.16 0.70 -0.86 10.01 0.00 0.01 0.02 1342
0.19 0.17 0.75 -0.87 10.06 0.00 0.01 0.02 1348
0.20 0.18 0.73 -0.84 10.02 -0.00 0.01 0.02 1354
0.21 0.13 0.71 -0.87 10.01 -0.03 0.00 0.02 1360
0.18 0.17 0.72 -0.86 9.97 -0.00 0.00 0.02 1367
0.18 0.19 0.70 -0.87 10.03 -0.00 0.03 0.02 1373
0.18 0.16 0.71 -0.86 10.02 -0.00 0.00 0.02 1380
0.17 0.15 0.70 -0.87 10.06 -0.00 0.01 0.02 1386
0.15 0.14 0.72 -0.85 10.05 0.00 0.01 0.02 1392
0.16 0.15 0.69 -0.83 9.97 0.00 0.01 0.02 1398
0.15 0.13 0.71 -0.84 10.02 0.00 0.01 0.02 1404
0.14 0.14 0.73 -0.83 9.98 0.00 0.02 0.02 1411
0.14 0.12 0.76 -0.85 9.98 0.01 0.02 0.02 1418
0.14 0.11 0.74 -0.85 9.95 0.00 0.01 0.02 1424
0.14 0.11 0.73 -0.87 9.91 0.00 0.01 0.02 1430
0.13 0.09 0.75 -0.82 10.01 0.00 0.01 0.02 1436
0.16 0.09 0.74 -0.85 9.98 -0.00 0.01 0.02 1442
0.14 0.07 0.75 -0.86 9.98 0.00 0.01 0.02 1448
0.13 0.06 0.75 -0.87 9.99 -0.00 0.01 0.02 1455
0.14 0.06 0.74 -0.86 9.99 -0.01 0.01 0.02 1461
0.15 0.04 0.78 -0.85 9.98 -0.01 0.01 0.02 1468
0.14 0.05 0.78 -0.87 9.94 -0.01 0.01 0.02 1474
0.13 0.04 0.78 -0.84 10.03 -0.02 0.01 0.02 1480
0.14 0.05 0.83 -0.87 10.00 -0.02 0.01 0.02 1486
0.14 0.04 0.78 -0.85 9.97 -0.02 0.01 0.02 1492
0.12 0.06 0.78 -0.86 9.99 -0.01 0.01 0.01 1499
0.13 0.07 0.77 -0.84 9.98 -0.01 0.00 0.02 1505
0.14 0.06 0.80 -0.85 10.02 -0.01 0.00 0.02 1512
0.13 0.04 0.79 -0.88 10.01 -0.01 -0.00 0.02 1518
0.12 0.07 0.80 -0.82 10.03 -0.00 -0.00 0.02 1524
0.13 0.05 0.78 -0.83 9.98 -0.00 -0.00 0.02 1530
0.12 0.06 0.79 -0.85 10.00 -0.00 -0.01 0.02 1537
0.12 0.03 0.83 -0.87 9.97 -0.00 -0.01 0.02 1543
0.13 0.05 0.81 -0.87 9.97 -0.01 -0.01 0.02 1549
0.13 0.04 0.80 -0.86 9.98 -0.01 -0.02 0.02 1556
0.13 0.04 0.81 -0.87 9.99 -0.02 -0.02 0.01 1562
0.14 0.05 0.81 -0.87 9.99 -0.02 -0.01 0.01 1568
0.16 0.06 0.77 -0.86 10.02 -0.02 -0.02 0.01 1574
0.14 0.05 0.78 -0.84 10.00 -0.02 -0.02 0.02 1581
0.13 0.06 0.75 -0.88 10.01 -0.02 -0.02 0.02 1587
0.14 0.06 0.79 -0.85 10.00 -0.02 -0.02 0.02 1594
0.13 0.06 0.78 -0.83 10.01 -0.02 -0.02 0.01 1600
0.11 0.07 0.80 -0.86 10.00 -0.02 -0.03 0.02 1606
0.13 0.09 0.81 -0.83 9.96 -0.02 -0.02 0.02 1612
0.12 0.09 0.85 -0.84 10.00 -0.02 -0.02 0.01 1618
0.11 0.10 0.83 -0.88 9.98 -0.03 -0.03 0.01 1625
0.11 0.11 0.80 -0.80 9.99 -0.02 -0.02 0.01 1631
0.10 0.13 0.80 -0.79 10.04 -0.02 -0.02 0.01 1638
0.09 0.10 0.76 -0.85 9.99 -0.01 -0.01 0.01 1644
0.08 0.10 0.77 -0.81 9.99 -0.01 -0.01 0.02 1650
0.09 0.12 0.80 -0.80 10.01 -0.01 -0.01 0.02 1656
0.08 0.11 0.87 -0.80 9.99 -0.01 -0.01 0.02 1662
0.08 0.10 0.86 -0.78 10.01 -0.01 -0.02 0.02 1669
0.08 0.12 0.79 -0.83 9.97 -0.01 -0.02 0.02 1675
0.09 0.11 0.81 -0.87 10.01 -0.01 -0.03 0.02 1682
0.09 0.11 0.81 -0.82 9.99 -0.01 -0.03 0.02 1688
0.08 0.12 0.80 -0.80 9.99 -0.01 -0.03 0.02 1694
0.12 0.11 0.79 -0.81 10.02 -0.01 -0.03 0.02 1700
0.11 0.10 0.80 -0.81 9.97 -0.00 -0.03 0.02 1707
0.09 0.11 0.81 -0.81 9.94 0.00 -0.04 0.02 1713
0.09 0.14 0.80 -0.84 9.97 -0.00 -0.04 0.02 1719
0.10 0.12 0.80 -0.89 9.99 -0.00 -0.05 0.02 1726
0.10 0.10 0.82 -0.87 9.97 -0.00 -0.05 0.02 1732
0.07 0.12 0.74 -0.89 9.97 -0.00 -0.06 0.02 1738
0.10 0.13 0.80 -0.83 10.01 -0.01 -0.06 0.02 1744
0.09 0.12 0.82 -0.86 10.00 -0.01 -0.06 0.02 1751
0.08 0.12 0.82 -0.85 10.02 -0.01 -0.06 0.02 1757
0.10 0.13 0.80 -0.81 9.97 -0.00 -0.06 0.02 1764
0.08 0.10 0.79 -0.84 9.99 -0.01 -0.06 0.02 1770
0.07 0.09 0.77 -0.86 9.98 -0.01 -0.07 0.02 1776
0.07 0.10 0.75 -0.84 9.99 -0.01 -0.06 0.02 1782
0.09 0.10 0.80 -0.85 10.00 -0.00 -0.06 0.02 1788
0.06 0.09 0.80 -0.83 9.97 -0.00 -0.06 0.03 1795
0.05 0.09 0.80 -0.83 10.02 -0.00 -0.06 0.03 1801
0.07 0.11 0.84 -0.85 10.03 0.01 -0.07 0.03 1808
0.06 0.08 0.85 -0.81 10.01 0.01 -0.07 0.03 1814
0.07 0.05 0.82 -0.86 10.05 0.02 -0.08 0.03 1820
0.07 0.07 0.83 -0.87 10.05 0.03 -0.09 0.03 1826
0.07 0.03 0.84 -0.86 9.99 0.03 -0.09 0.02 1832
0.08 0.01 0.79 -0.88 10.05 0.03 -0.09 0.02 1839
0.08 0.02 0.73 -0.90 10.07 0.04 -0.10 0.02 1845
0.10 -0.00 0.74 -0.91 10.10 0.05 -0.09 0.01 1852
0.09 -0.01 0.73 -0.90 10.11 0.06 -0.09 0.02 1858
0.10 -0.01 0.75 -0.92 10.13 0.08 -0.08 0.02 1864
0.12 -0.01 0.77 -0.97 10.17 0.09 -0.07 0.02 1870
0.10 -0.01 0.75 -0.96 10.17 0.11 -0.07 0.02 1876
0.10 -0.01 0.83 -0.91 10.31 0.14 -0.06 0.02 1883
0.12 -0.01 0.82 -1.04 10.28 0.19 -0.06 0.01 1889
0.12 -0.01 0.84 -1.02 10.56 0.29 -0.04 0.00 1896
0.12 -0.01 1.09 -1.15 10.79 0.39 -0.03 -0.02 1902
0.12 -0.01 1.60 -1.09 11.23 0.60 -0.03 -0.07 1908
0.13 -0.01 1.67 -1.21 11.87 0.90 -0.04 -0.12 1914
0.11 -0.01 1.46 -1.84 12.57 1.24 -0.06 -0.18 1921
0.11 -0.01 1.60 -0.57 13.06 1.49 -0.13 -0.23 1927
0.13 -0.01 1.51 -1.43 12.90 1.72 -0.21 -0.27 1934
0.12 -0.01 1.88 -1.67 13.39 1.89 -0.31 -0.32 1940
0.10 -0.01 1.87 -1.61 12.38 2.01 -0.40 -0.37 1946
0.10 -0.01 1.56 1.75 13.34 2.06 -0.50 -0.46 1952
0.11 -0.01 2.92 -2.10 12.23 2.09 -0.55 -0.53 1958
0.09 -0.01 3.80 -2.46 12.14 2.09 -0.56 -0.64 1965
0.07 0.01 4.46 -2.67 12.11 2.07 -0.48 -0.79 1972
0.07 -0.01 5.09 -2.73 11.91 2.00 -0.30 -0.95 1978
0.08 -0.01 6.10 -3.39 12.19 1.91 -0.12 -1.11 1984
0.07 0.00 7.20 -3.28 12.44 1.80 0.11 -1.27 1990
0.07 -0.01 6.50 -3.43 12.56 1.65 0.36 -1.43 1996
0.05 -0.00 6.76 -3.27 12.53 1.49 0.51 -1.62 2003
0.06 -0.00 5.96 -3.34 11.84 1.33 0.60 -1.78 2010
0.04 -0.00 5.50 -3.08 11.23 1.17 0.59 -1.95 2016
0.05 -0.00 4.35 -2.54 10.98 1.02 0.45 -2.12 2022
0.04 0.00 4.42 -1.54 10.24 0.86 0.19 -2.22 2028
0.04 -0.00 3.76 -1.14 8.89 0.69 -0.12 -2.28 2034
0.04 -0.00 3.60 -0.39 8.52 0.55 -0.49 -2.32 2041
0.02 -0.00 3.79 0.74 8.10 0.34 -0.81 -2.37 2048
0.04 -0.00 5.41 2.59 7.88 0.15 -1.14 -2.38 2054
0.03 -0.00 6.21 2.05 7.32 -0.01 -1.36 -2.28 2060
0.04 -0.00 6.47 1.01 7.32 -0.10 -1.44 -2.12 2066
0.03 -0.00 6.74 0.64 7.97 -0.18 -1.42 -1.96 2072
0.04 -0.00 7.31 1.27 7.80 -0.25 -1.35 -1.82 2078
0.04 -0.00 7.47 1.98 7.37 -0.30 -1.28 -1.71 2084
0.02 -0.00 7.37 2.09 7.01 -0.30 -1.25 -1.64 2091
0.03 -0.00 7.26 2.01 7.08 -0.29 -1.12 -1.55 2097
0.04 -0.00 7.51 2.00 7.44 -0.30 -0.92 -1.47 2104
0.03 -0.00 7.64 1.92 7.63 -0.32 -0.67 -1.38 2110
0.04 -0.00 7.60 1.83 7.93 -0.40 -0.38 -1.28 2116
0.04 -0.00 7.68 1.78 8.38 -0.43 -0.06 -1.18 2122
0.03 -0.00 7.63 1.56 8.92 -0.52 0.22 -1.06 2128
0.03 -0.00 7.17 1.28 9.04 -0.61 0.52 -0.95 2135
0.03 -0.00 6.39 0.85 8.80 -0.71 0.74 -0.81 2141
0.03 -0.00 5.61 0.37 8.67 -0.79 0.88 -0.67 2147
0.03 -0.00 4.96 -0.08 8.54 -0.83 0.93 -0.54 2153
0.03 -0.00 4.49 -0.64 8.75 -0.84 0.90 -0.42 2159
0.02 -0.00 4.19 -1.20 8.92 -0.83 0.87 -0.32 2166
0.02 -0.00 4.04 -1.57 9.17 -0.81 0.82 -0.25 2172
0.03 -0.00 4.15 -1.74 9.41 -0.79 0.81 -0.16 2179
0.03 -0.00 4.38 -1.81 9.72 -0.79 0.82 -0.08 2185
0.04 -0.00 4.40 -1.84 9.73 -0.82 0.87 -0.00 2191
0.03 -0.00 4.19 -1.91 9.77 -0.84 0.94 0.07 2197
0.04 -0.00 3.97 -2.10 9.90 -0.87 1.01 0.14 2203
0.03 -0.00 3.67 -2.32 10.05 -0.88 1.07 0.19 2209
0.03 -0.00 3.29 -2.61 10.22 -0.89 1.10 0.23 2215
0.03 -0.00 2.90 -2.91 10.30 -0.88 1.12 0.27 2223
0.05 -0.00 2.54 -3.04 10.29 -0.87 1.12 0.29 2229
0.03 -0.00 2.22 -3.14 10.36 -0.85 1.10 0.30 2235
0.03 -0.00 1.88 -3.13 10.42 -0.83 1.05 0.32 2241
0.04 -0.00 1.59 -3.18 10.36 -0.80 0.99 0.32 2247
0.03 -0.00 1.34 -3.14 10.37 -0.78 0.93 0.32 2253
0.02 -0.00 1.20 -3.02 10.69 -0.76 0.87 0.31 2260
0.03 0.00 1.32 -2.98 11.03 -0.75 0.84 0.30 2267
0.04 -0.00 1.20 -3.03 11.28 -0.76 0.83 0.27 2273
0.03 -0.00 1.03 -3.17 11.32 -0.78 0.85 0.26 2279
0.03 -0.00 0.96 -3.26 11.36 -0.81 0.85 0.23 2285
0.04 -0.00 0.91 -3.36 11.35 -0.82 0.86 0.21 2291
0.02 -0.00 0.87 -3.63 11.25 -0.81 0.85 0.18 2297
0.02 -0.00 0.88 -3.86 11.10 -0.80 0.85 0.15 2305
0.03 -0.00 1.00 -3.93 10.96 -0.77 0.85 0.13 2311
0.03 -0.00 1.04 -3.89 10.91 -0.72 0.86 0.12 2317
0.03 -0.00 1.11 -3.79 10.85 -0.65 0.86 0.14 2323
