Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.12 0.08 0.73 -1.28 10.20 0.32 -0.05 0.20 730
0.17 0.08 0.68 -1.31 10.21 0.34 -0.05 0.19 737
0.18 0.06 0.73 -1.38 10.16 0.36 -0.05 0.19 743
0.17 0.07 0.76 -1.32 10.16 0.38 -0.05 0.19 749
0.16 0.07 0.78 -1.39 10.06 0.39 -0.04 0.18 755
0.19 0.05 0.77 -1.47 9.96 0.39 -0.04 0.18 761
0.18 0.06 0.63 -1.47 9.87 0.39 -0.05 0.18 768
0.16 0.07 0.64 -1.54 9.81 0.38 -0.06 0.19 774
0.17 0.06 0.01 -1.48 9.79 0.35 -0.06 0.19 780
0.15 0.05 0.57 -1.54 9.58 0.31 -0.06 0.20 787
0.15 0.04 0.60 -1.48 9.48 0.27 -0.06 0.22 793
0.19 0.06 0.63 -1.59 9.39 0.21 -0.07 0.23 799
0.18 0.05 0.63 -1.56 9.18 0.15 -0.06 0.24 805
0.17 0.06 0.58 -1.62 9.03 0.08 -0.06 0.26 812
0.15 0.05 0.49 -1.57 8.72 -0.02 -0.06 0.29 818
0.13 0.05 0.31 -1.46 8.38 -0.15 -0.05 0.33 824
0.13 0.05 0.09 -1.48 8.05 -0.32 -0.05 0.38 830
0.10 0.05 -0.14 -1.38 7.76 -0.54 -0.06 0.48 836
0.09 0.03 -0.17 -1.13 7.47 -0.81 -0.10 0.59 842
0.09 0.06 -0.00 -1.08 7.74 -1.14 -0.19 0.73 848
0.08 0.08 0.32 -0.66 8.22 -1.44 -0.37 0.89 856
0.07 0.20 22.85 -12.47 34.56 -1.49 -0.64 0.51 862
0.04 0.37 2.54 -5.93 10.02 -0.23 -0.38 0.04 868
0.05 0.39 0.34 0.09 7.99 -0.02 0.06 0.03 874
0.06 0.32 0.34 -1.29 10.39 -0.03 -0.00 -0.02 880
0.06 0.28 1.05 -1.31 8.89 -0.01 -0.01 0.01 886
0.06 0.29 0.55 -1.64 10.00 -0.03 -0.10 0.01 892
0.06 0.32 0.52 -1.23 10.21 -0.03 -0.09 0.02 900
0.05 0.32 0.63 -1.32 10.43 -0.03 -0.08 0.01 906
0.04 0.31 0.74 -1.19 10.07 -0.02 -0.05 0.00 912
0.04 0.32 0.70 -1.15 10.02 -0.02 -0.05 0.00 918
0.04 0.32 0.64 -1.13 9.98 -0.02 -0.05 0.00 924
0.05 0.31 0.63 -1.11 10.00 -0.02 -0.05 0.00 930
0.05 0.31 0.65 -1.13 10.00 -0.02 -0.04 0.00 936
0.06 0.32 0.64 -1.11 9.99 -0.02 -0.04 0.00 943
0.06 0.30 0.64 -1.16 9.98 -0.02 -0.04 0.00 949
0.06 0.31 0.69 -1.17 10.03 -0.02 -0.04 0.00 956
0.05 0.30 0.63 -1.17 10.00 -0.02 -0.03 0.00 962
0.06 0.31 0.63 -1.14 10.02 -0.01 -0.04 0.01 968
0.05 0.31 0.64 -1.11 10.03 -0.02 -0.03 0.01 974
0.04 0.31 0.67 -1.11 10.05 -0.02 -0.03 0.01 980
0.03 0.31 0.67 -1.12 10.01 -0.02 -0.03 0.01 987
0.04 0.33 0.66 -1.14 10.03 -0.02 -0.07 0.01 993
0.04 0.35 0.67 -1.16 9.99 -0.02 -0.04 0.01 999
0.06 0.36 0.63 -1.11 9.99 -0.03 -0.03 0.01 1005
0.04 0.39 0.64 -1.08 10.01 -0.04 -0.04 0.01 1012
0.06 0.41 0.70 -1.09 10.06 -0.04 -0.04 0.01 1018
0.05 0.43 0.64 -1.08 10.01 -0.04 -0.04 0.01 1025
0.05 0.43 0.60 -1.15 10.09 -0.05 -0.03 0.00 1031
0.06 0.46 0.59 -1.14 10.10 -0.05 -0.02 0.01 1037
0.05 0.46 0.62 -1.12 10.12 -0.04 0.01 0.00 1044
0.04 0.49 0.69 -1.08 10.01 -0.05 0.03 0.01 1050
0.04 0.48 0.62 -1.09 10.13 -0.05 0.04 0.01 1056
0.04 0.50 0.66 -1.11 10.26 -0.06 0.07 0.01 1062
0.04 0.50 0.64 -1.17 10.35 -0.07 0.10 0.00 1069
0.05 0.52 0.60 -1.17 10.32 -0.09 0.15 0.01 1076
0.04 0.55 0.59 -1.20 10.38 -0.11 0.19 0.00 1082
0.02 0.57 0.42 -1.06 10.19 -0.13 0.22 -0.00 1088
0.04 0.62 0.35 -1.29 10.78 -0.17 0.25 -0.04 1094
0.02 0.64 0.66 -1.19 11.24 -0.30 0.18 -0.06 1100
0.03 0.62 0.86 -1.10 10.49 -0.37 0.22 -0.06 1107
0.02 0.67 1.06 -1.17 10.70 -0.41 0.24 -0.05 1114
0.03 0.68 1.14 -1.24 10.68 -0.47 0.25 -0.02 1120
0.03 0.70 1.19 -1.13 10.64 -0.51 0.27 0.01 1126
0.04 0.66 1.18 -1.08 10.58 -0.54 0.29 0.03 1132
0.03 0.65 1.09 -1.01 10.43 -0.58 0.29 0.05 1139
0.03 0.72 1.00 -0.94 10.33 -0.60 0.29 0.06 1145
0.03 0.62 0.98 -0.83 10.13 -0.61 0.29 0.06 1152
0.03 0.63 0.97 -0.67 9.92 -0.61 0.29 0.06 1158
0.04 0.68 0.94 -0.71 9.90 -0.59 0.28 0.06 1164
0.03 0.67 0.90 -0.55 9.83 -0.57 0.26 0.05 1170
0.03 0.63 1.00 -0.48 9.81 -0.55 0.24 0.04 1177
0.04 0.62 1.03 -0.47 9.74 -0.52 0.23 0.04 1183
0.04 0.59 1.01 -0.42 9.64 -0.50 0.21 0.03 1189
0.04 0.57 1.14 -0.40 9.55 -0.46 0.19 0.02 1196
0.04 0.58 1.12 -0.34 9.54 -0.43 0.17 0.02 1202
0.05 0.59 1.17 -0.27 9.53 -0.39 0.15 0.02 1208
0.04 0.63 1.18 -0.26 9.47 -0.36 0.10 0.02 1214
0.03 0.60 1.21 -0.24 9.47 -0.32 0.12 0.02 1221
0.04 0.65 1.21 -0.25 9.52 -0.28 0.10 0.01 1227
0.04 0.63 1.19 -0.20 9.52 -0.24 0.08 0.01 1233
0.04 0.60 1.25 -0.19 9.57 -0.21 0.07 0.01 1240
0.04 0.61 1.25 -0.21 9.52 -0.17 0.05 0.01 1246
0.05 0.61 1.21 -0.17 9.49 -0.13 0.04 0.01 1252
0.03 0.58 1.21 -0.14 9.52 -0.11 0.03 0.01 1259
0.03 0.59 1.16 -0.14 9.54 -0.07 0.02 0.01 1265
0.04 0.59 1.21 -0.15 9.55 -0.03 0.01 0.01 1271
0.03 0.58 1.16 -0.15 9.56 0.01 -0.00 0.00 1277
0.04 0.56 1.20 -0.14 9.50 0.04 -0.02 -0.00 1284
0.03 0.57 1.20 -0.15 9.44 0.08 -0.03 -0.01 1290
0.05 0.57 1.20 -0.15 9.39 0.12 -0.05 -0.01 1296
0.04 0.56 1.20 -0.13 9.40 0.17 -0.07 -0.02 1302
0.03 0.56 1.21 -0.15 9.38 0.20 -0.09 -0.02 1309
0.03 0.59 1.19 -0.17 9.40 0.25 -0.12 -0.03 1315
0.04 0.57 1.09 -0.15 9.27 0.30 -0.15 -0.04 1321
0.04 0.56 1.13 -0.19 9.30 0.35 -0.19 -0.06 1328
0.04 0.57 1.14 -0.16 9.23 0.40 -0.23 -0.07 1334
